message,sentiment,category
Thats for older kids. People are waiting 2 years especially for a baby because they dont want an older child. I did specify babies didnt i. Get your statistics for babies unable to find homes. Youll find theres waiting lists for babies.,Neutral,Irrelevant
Sickening to laugh react at that,Neutral,Other
Its more aimed at single mothers of one child rather than a family as families are harder to get adopted compared to the one child,Neutral,Other
"It's not only to fullfil adoption targets, there are other goals too...",Neutral,Other
"Yeah I know. Career growth. Social engineering. Finding children for pedo rings, as shown in Ian Joseph's testimony when he was town councillor, he was reached out to by the mother of a 12 yr old with behavioural difficulties who was moved out to a childrens' home and not allowed to speak to her with no clear explanation, the councilor visited the boy and found out the home he'd been moved to it was normal for the children to sleep with the people running it for pocket money. So as you can see, many reasons behind the child trafficking social services are doing in this country.",Neutral,Information
Its the employers who want to pay less and british workers dont want to be paid less becz we knw the minimum wage is but eastern Europeans knw too but they still go ahead why? Becz they hace to pay £700/800 rent without a job they be on the streets so only recruitment agencies give them jobs which are 12 hour shifts and to be honest they are hard workers better then some of our british people who cant be asked to get their backside to work.,Neutral,Misunderstanding
"The comments are too difficult to read, the grammar is absolutely ridiculous 😂",Neutral,Irrelevant
"I see 10 people living in a 3 bedroom house regularly and often with just one bathroom and kitchen, why would they come here to live like a rat ?",Neutral,Information
I had a family of 5 living in a bed sit next to me,Neutral,Information
"We don't always know the conditions they left behind. However, both the above comments are appalling conditions for a 1st world country. Need the tax dodgers like Amazon/Google/Apple/Starbucks to pay their 'fair share' of tax. To do that, you need to stop buying their shitty Products. Their workers are also slaves on low wages. Big business is to also to blame.",Neutral,Aware
Jolyon Scarlett we can blame big business but most of these problems occur due to the housing laws being flouted by certain unscrupulous landlords and local councils turning a blind eye to the overcrowding. We do not have nowhere near enough housing for those that are already here. What’s the point of allowing immigrants in to the country in such huge numbers when we do not have the infrastructure to cope ? Shortages in housing = higher rental prices = more homeless = more suffering.,Neutral,Irrelevant
"^^^^^ A sensible answer for once, our immigration problem is not because you may be Polish, Lithuanian, Hungarian, Indian, Chinese or any other nationality. Our issues are we don't have the infrastructure for the numbers that are coming. It needs to be controlled better as we don't have the economy to react to the huge numbers coming in. There are lots of people who flout the system, both foreigners and the British, it's costing too much and preventing those in real need from getting the service they deserve. We need a government with a backbone and an understanding of the real issues.",Neutral,Irrelevant
Ian Stones exactly,Neutral,Other
We don't give a flying f.,Neutral,Other
Tagged Lewis Callum Joe Ellis Yoss modern slavery? Illegal car washing,Neutral,Share/Tag
Where can I get one? 🤷‍♂️,Neutral,Irrelevant
Tagged Leon Humberstone-Garley,Neutral,Share/Tag
Tagged Ryan McGeough,Neutral,Share/Tag
Dont forget back to work programms and training .. oh wait its the goverment its okay,Neutral,Irrelevant
Definitely peterborougb,Positive,Aware
They can always go back to their own country.,Neutral,Misunderstanding
They should go home then if it is that bad here.,Neutral,Misunderstanding
God the majority of comments on here make me sick to my stomach. Typical UKIP voting fenland morons that think every problem in the world is caused by immigrants and EU. People come to this country to work hard and provide for themselves and their families and there are unscrupulous people out there who are willing to exploit their desperation. It’s not the taxman’s fault and it’s certainly not the victims fault. To compare the everyday grind of free British workers to those poor people held hostage by these slavemasters is so stupid it takes my breath away.,Positive,Aware
Amen to that.,Positive,Aware
Well Said!,Positive,Aware
 I totally agree with you and couldn't have put it better,Positive,Aware
"Ok , I think may need rethink abou her governament, I was working 10 years full time, 1 year part time , get ill , have surgery on 12/ 08/2017, apply for ESA, still waiting , 10 weeks gone, Will they pay my of sick, maybe, shame on jobcentre , shame on governor , shame on my employer !!! I feel cheated !! 61!!!! The only money come in is when I work!!! Where's the respect for old people like me????",Neutral,Irrelevant
What's ESA? I've lived and worked here all my life paying myself and the system (28 years working) and never heard of it .,Neutral,Other
Ben Ford esa is the replacement for incapacity benefit. You can apply to get it if you're signed off sick and too ill to work but the job centre will do their own medical on you and then decide if you qualify and if you do they can still insist you do work to get back into work rather than trusting that your treating doctor knows that you are not fit for work at the time,Neutral,Other
Ben Ford it's called employment support allowance,Neutral,Other
"Ben Ford what I know is what have been told , because I haven't right for a Universal Credit I was told apply after my operation for ESA , I understood if you are English born you have Universal Credit if not you have a provisory fund called ESA because is basead in how much tax have you pay !",Neutral,Other
"it doesn't matter what nationality you are. ESA, basically if u have worked and paid into the system u will get something out of it I'm assuming it depends how much u have paid in tax and insurance",Neutral,Other
Tagged Philip Hamouda guarda 🤣🤣,Neutral,Share/Tag
F***g slavery man,Neutral,Aware
Hate starting working at 7. Glad it’s being noticed,Neutral,Irrelevant
You start work? I didn’t notice.,Neutral,Other
I make it look easy that’s all,Neutral,Other
"Plenty of people start work at 7am, that’s not slavery!!",Neutral,Other
"Diane Ray that’s not the half of it. I set my alarm for six to get ready, u have not idea what a struggle it is,",Neutral,Other
I don't give a toss.,Negative,Angry
,,
I live in the Fenland area Barb never seen so many Eastern Europeans.,Neutral,Irrelevant
Connection?,Neutral,Irrelevant
I agree!!! Wisbechistan  (Wisbech)is dreadful!!! All young mums with prams and another baby any second  and lots of loud car radios playing non English â€˜ musicâ€™!,Neutral,Prejudiced
But of course the snowflakes will still say it doesn't have any effect on the NHS schooling and housing.,Neutral,Irrelevant
XXX yes i agree.but its not hard to work out that it must have a serious impact on services.thats why its all a mess.,Neutral,Irrelevant
XXX Oh my god that is just darn unacceptable.  Your life must be unbearable. ðŸ˜±,Neutral,Irrelevant
XXX . Agreed. I live near Wisbech and as I walk along I am surprised if I hear someone talking in English.,Neutral,Irrelevant
"At least the influx of eastern Europeans to Wisbech has dramatically increased the area's gene pool, and not before time...",Neutral,Irrelevant
"XXX, BRAVO!!! ðŸ˜‚",,Irrelevant
Apparently all legal migrants according to Theresa may and non brexit team.. Even more funny violent crime and sexual offences up massively in every area of UK,Neutral,Prejudiced
"I wanna know . How they charge Â£10 for a est car, but donâ€™t wanna drop to Â£4 to wash my wifeâ€™s fiat 500 . Perhaps they pay more tax on a bigger vehicle ðŸ™„to our old ma mayâ‰ï¸â‰ï¸â‰ï¸ðŸ˜¡",Neutral,Misunderstanding
It's not worth doing it for Â£4   A car is a car   I couldn't give less of a fuck if I pay Â£10 for my range rover or Â£10 for my wife's convertible   Who gives a shit?   It's hard graft what they do it's worth at least a tenner,Neutral,Aware
Wash it yourself ya tight fucker,Neutral,Irrelevant
I could do sir but when youâ€™re well off and used to people  doing it for youðŸ™„itâ€™s hard ðŸ˜‚ðŸ˜‚,Neutral,Irrelevant
Moaning because someone wonâ€™t wash a car for Â£4 well off ðŸ˜†,Neutral,Irrelevant
Far from moaning sir. Itâ€™s the principle of life. If one is going to cauterise payment on vehicles. Then why is it not cheaper for smaller vehicles â‰ï¸â‰ï¸,Neutral,Irrelevant
You want to try going to a detailer. Spend at least a few hundred to a few grand,Neutral,Irrelevant
"XXXX why are XL â€” XXXXXL the same price as a S/M/L shirt? - more material, same price...   Your thinking isnâ€™t right.  Small cars are Â£5 in my town, large cars / 4x4 are Â£10...  Nothing is Â£4, why would it be?  2-3 men working on your car, cost of electricity for the jet wash, cost of water... time and effort = Â£5 is a bargain!",Neutral,Irrelevant
"Yes and some working in the Fens earn an average of 2,000 a month",Neutral,Disagrees
Yeah some of us do and we do stupid hours to earn that!!,Neutral,Irrelevant
This is true.. because most of them WANT to work.. this ad would be better if they pointed out what signs to look for... reporting hard working people isn't going to help anyone. They work very hard and diligently and put alot of British people to shame.,Neutral,Aware
"This post is about people in Fenland being used as slaves. It is asking you to be aware. It exists. They are brought in by coach from their villages, they have their passports taken away, put in properties, often 4 to a room, and paid little for the work they do as they're told they have to repay for their travel to the UK, their housing etc. They don't know who to go to for help.",Positive,Aware
what village in the gens requires a passport and ely isnâ€™t really an island,,Misunderstanding
Should have stayed at home then,,Prejudiced
XXX they are still human beings who are being exploited by criminals!,,Aware
XX You know shit. Have a walk round Boston on a Saturday night. See all these slaves. Dirty bastard's pissing and shitting where ever they please.,Negative,Prejudiced
XXX  I agree. They imprisoned by a British family who had enslaved a mentaly impaired man. Took all his income and regularly beat him. Most of the field workers are Eastern European that are employed by local farmers in the Fens doing labour that no British person would do. The farmers say they work hard in all weather's and every hand car wash in Peterborough is run by Eastern  Europeans they do a excellent job. This day and age people shouldn't be enslaved especially in this country. Instead of people hating on them have empathy and hate your government for the mess.,Neutral,Information
XXXX why do they have to be migrants.. That's the chain of thought here.. So it's an issue.. As no ones mentioned vulnerable adults from UK.. And fact that also some slaves don't know they slaves but think they are friends or lovers or family or their enslavers you see it all time..,Neutral,Aware
 XXXyes Karl the person I mentioned was English his family found him 6 years later and his capturers British so can be from anywhere,Neutral,Information
"Yes it is, and if the system changed we would not get such abuses.",Neutral,Aware
Simply solution . Ban migrant workers . Problem solved .,Neutral,Prejudiced
Not really XXX apparently farmers rely on them where is the labour going to come from in your solution,Neutral,Irrelevant
some shameful ill informed   comments on here as normal .These people are human being some one son daughter mother farther. think about before you put such unkind nasty comments on here,Neutral,Aware
XXXX yeah who did the jobs b4 we did..,Neutral,Irrelevant
"There is a problem, ok farmers want to pay as little as possible but if these people didn't come over here, two things would happen. Farmers would have to pay more in wages which would mean that prices would go up. It would also mean that those claiming benefits yet able to work, would have to get out of bed and work .",Neutral,Other
"These people should never ha allowed to continue  these practices but until people speak out about these evil practices  it will go on,it's no use fining them as they will just carry on and on",Neutral,Aware
XXXhe might volunteer ðŸ˜†,Neutral,Irrelevant
XXX the farmers are paying the going rate. The people causing this issue are the gangmasters. They are the middlemen acting as agents and they are paying the workers . They are monitored thesedays by the authorities and face prosecution even prison if found to be doing what is claimed in the original posting,Neutral,Aware
"I have no idea what the solution to prevent this is ,but i do know that if here in the Fens we knew about this happening near us ,it woukd kick off big time . I was lucky to be  born in this country and i appreciate it very much .",Neutral,Aware
XXX  WE DID !!!!   you talking about a time when we was really hard up and before everyone went to college/ university  and left 20 grand in debt !!!!!   Yes our grand and great grandparents worked the land but they all dead  now !!!!,Neutral,Irrelevant
There is a number they can call. It's free from a pay phone. 999 then they can go back.,Neutral,Irrelevant
XXX who will work on the fields then? In the factories etc.,Neutral,Irrelevant
If we didn't have so many immigrants (most illegal) then our country would employ more legal people and have to pay the correct wages but because foreigners work twice as hard for less  money our  youngsters and others don't stand a chance sorry if I've offended anyone but I have work hard all my life (I'm 63) and still struggle sometime just my opinion,Neutral,Misunderstanding
"When our greatgrandparents,grandparents  and some parents they did not have handouts as they do today they had no option but to go out to work on the land as there was little else .Gypsies also worked on the land students in their holidays would too do not blame people that come in from abroad it is the land owners factory owners that are to blame.A lot of  farmers now do quite a lot themselves hence al the heavy machinery we notice around",Neutral,Irrelevant
There is a whole generation of young people not working because of the handouts they do not want the break breaking jobs bending  and lifting out in all weathers,Neutral,Irrelevant
I was born and raised in the eighties. My first wage packet was at 5/6  picking strawberries with my mum. I've always been a grafter but cannot get land work or what was once known as casual/gang work anymore. And by gang I don't mean the modern rip you off bull crap! I rang about many a job went into agency's and guess what? Soon as they hear I'm English not a bit interested. Yes many would rather not work the land well that's up to them after all maybe they want to better themselves. Either way our country work has died as well as most of our industry's. Sad to see it all change so much,Neutral,Irrelevant
Ð˜Ð²Ð°Ð½ ÐšÐ°Ñ€Ð°ÑÑ‚Ð¾ÑÐ½Ð¾Ð² the people who use to work in the fields and factories before cheap east European labour took away their livelihoods.,Neutral,Irrelevant
"Took away? Or given away? Dont get me wrong we should blame the system! Lots of people dont want to work on the fields, english, bulgarian, romanian etc. The world is changing (unfortunately not for good...)",Neutral,Irrelevant
XXX my son is English and got plenty of work with agencies.,Neutral,Irrelevant
"XXX that's because the English were sick of being exploited doing backbreaking work, he's 6'6 so he could hardly stand straight by the end of the day, for less than the minimum wage. My son used to do the work for a gangmaster, left home at 4 in the morning driven to God knows where hours of backbreaking work picking strawberries then not getting home till 10 at night for Â£5 a day. When he tried to sign on the dole after he wasn't able to because he hadn't paid any tax and NI although it was deducted from his wages.",Neutral,Information
Heather Davies  how did the farmer get there workers 30 years ago??? Didn't the farmers need workers in them days.    I know they did I was one of the workers that used to work on the land. Winter and summer.,Neutral,Irrelevant
Ð˜Ð²Ð°Ð½ ÐšÐ°Ñ€Ð°ÑÑ‚Ð¾ÑÐ½Ð¾Ð²  The fields and factory were occupied and harvest 30 years with no help from anyone but our own.,Neutral,Irrelevant
I stand by you 100%.  I all so was driving to Boston a few years back and  I saw a gang of field workers  working with little kids on the field with them?? I couldn't believe my eyes.  If they were English the authorities would be on them.,Neutral,Information
XXX not all the workers were English  the owner of Baytree Garden Centre came over from Bavaria in 1964 to work as a rose budder and I doubt he was the only migrant worker.,Neutral,Information
Stop letting the f#ckers enter the country thenðŸ˜¡,Neutral,Prejudiced
The fens are invariably Tory areas...,Neutral,Irrelevant
Yes they are and the council. They shit on their own doorstep.,Neutral,Irrelevant
People are being exploited in the fens. Usually by the majority of the councillors and the council .,Neutral,Irrelevant
Itâ€™s not  just the fens its all over England because our government doesnâ€™t have control,Neutral,Aware
Stop letting them in,Neutral,Prejudiced
Slaves my ass. They have plenty of money for beer and drugs..,Negative,Prejudiced
"New cars flash jewellery latest mobile phone, eat like Kings & Queens ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”",Neutral,Misunderstanding
Forgot about all the expensive designer clothing they have too ðŸ˜,Neutral,Misunderstanding
Good and bad Denise Osborne. We should be able to kick all the shit out. Last week in Boston a Latvian man was knocking on people's doors with a knife. Turns out he had not long been released from 9yrs for murder in Latvia.,Neutral,Misunderstanding
High class slaves ðŸ˜‚ x,Neutral,Misunderstanding
XXXXX,Neutral,Share/Tag
"If our country had control of who comes in and out and why like other countries this wouldnâ€™t happen as much  , sorry but I feel for them but having a visa is the only way to help this and our country",Neutral,Misunderstanding
I agree with that,Neutral,Irrelevant
It's not a visa issue it's an agency issue,Neutral,Aware
Yes I agree,Neutral,Aware
These people have Visas they are promised a decent job and they come here to be used and abused,Neutral,Aware
we already have control of who comes into the country,Neutral,Irrelevant
XXXX so why do we allow murders in ? From Europe,Neutral,Irrelevant
"Absolutely bloody appalled by the comments on here, they are humans who are trying to make a positive change in their life and have been taken advantage of. Just because you were lucky enough to be born in a country with a decent economy and healthcare system with no war being fought here doesnâ€™t give you the right to judge people not as fortunate. So much entitlement in here, sickening.",Neutral,Aware
A woman from Boston put a post up this week. Her 15yr old daughter was walking thru the park in town. A east European walked up to her pulled her top down exposing her breasts. Because she fought back he strangled her till she nearly blacked out and spat in her face. If you think this is a isolated case your deluded. This and more serious offences are happening on a regular basis in the fens. So if you are shocked people don't give a fuck about this post there's your reason why..,Neutral,Prejudiced
Entitlement don't make me laugh. Listen to lily Allan here most of the people with issues are worse off in so many ways regardless of having the so called fortune to be born in this country makes no difference to the falling standards of life for the indigenous residents.. The ones that didn't vote concervative and voted for brexit.. You look like you have a nice life compared to most of us. Shall I judge you. And say because of your fortune of proberbly being born in UK to middle class family having the chance of higher education being able to not worry where or whose house you sleeping at night as a child in UK and having structure even now in place to not have a clue what it's like for people at breadline whose money is worth base amount like 1.00 in UK not sent home where its wor 3times more. And the dole is basically human exploration but its OK because its the government.. Its okay to care blthat makes u human but if it comes down to me my kids or them it's me and mine,Neutral,Irrelevant
"You have no idea who I am or where I come from, I was born into a working class hard grafting military family, we didnâ€™t have much growing up and was taught to get anything we needed to work for it. So yea my life is pretty comfortable now but I worked for everything I have, nothing was given to me and there were times when my son was a baby that I had to get by on very little money but I did because thatâ€™s life. I donâ€™t begrudge some poor sod who is coming here to graft so he/she can send money back to their families. I agree more needs to be done to help families living in poverty here though, no child should ever go to bed hungry in this day and age, but that doesnâ€™t mean we shouldnâ€™t try to protect people being exploited in our country does it?",Neutral,Aware
XXX these workers are also paying into the system and spending money in our shops.,Neutral,Irrelevant
They are also taking money and resources out of the country.. In droves.. And sending it back to countries where the pound is 10 times stronger and buying land and homes.. Whilst people in this country at same education level.. Have nothing to show for their work.. They know what they doing and as for slavery it's no different than a government run back to work scheme but with free housing.. In fact if government sent you on a worthless unemployment course for 6.00 a day  at 8hr a day for the duration u was unemployed it would be OK.. But if some gang master does it its not.. Now that's exploitation...,Neutral,Other
"Every person has the ability to make their lives better. It's just a question of whether or not they want to.  My parents were both on benefits for my entire childhood. I signed up for a Saturday job when I was 15. I'm 36 now and have a comfortable life having worked for the last 22 years. You might look and judge me, thinking I was born into a comfortable life, but there's nothing comfortable about watching cockroaches walk over your bedroom floor, wondering where our next meal might come from, feeling unsafe in our own council flat.  Immigration has happened for centuries, how do you think the commonwealth came to be? We weren't worried about borders back then, when we were benefitting from all the goods that we were taking as though they belonged to us.  If I saw an opportunity to better mine and my family's life, and it meant have to work, and live in another country and send money back for my children, I'd do it in a heartbeat.",Neutral,Irrelevant
Making a positive change in their lives? Donâ€™t move to Wisbech then ðŸ˜‚,Neutral,Irrelevant
"I have the answer, get all those who are not working and on benefits into the fields picking the veg, fruit, etc.  Bit of hard work hurts no one.  Oh, it is seasonal, early starts in all weathers and it ainâ€™t worth the money. ðŸ¤”",Neutral,Irrelevant
"well it would be worth the money if employers were forced to pay a fair wage for the job....and supermarkets charged a proper price for goods, and people were prepared to PAY a proper price so that the people that picked their precious flamin cheap fruit could get a decent wage....blame the oppressor not the victim...and don't avoid your own culpability.",Neutral,Aware
"Maybe so.  But if people are paid the minimum wage or more depending on quotas why are they not doing the work? Because we have â€˜someâ€™ in society that do not want seasonal work they want full time jobs. It is back breaking , long hours and hard work picking fruit and veg. Somebody has to do it and sadly Eastern Europeans will  fill the gaps. But that is no excuse for modern day slavery!  If it was good enough for the last generation to do the work on the land it is good enough now. To much co dependency on our benefit system...for â€˜some.â€™",Neutral,Aware
They are too soft for that!!,Neutral,Irrelevant
XXXX well lots of housewives used to do it as it could fit around school etc and also it was classed as casual and it usually wasn't declared income. The govt clamped down on it wanting the tax to be paid and so the people stopped doing it and the gangmasters came into their own.,Neutral,Aware
Go Aldi for fruit n veg,Neutral,Irrelevant
XXX,Neutral,Irrelevant
Forget immigration this is east European gangs exploiting their own together with travellers exploiting the vulnerable. Everywhere is underfunded so its difficult to tackle.,Neutral,Aware
xxx,Neutral,Share/Tag
British jobs for British workers. Ban migrant workers . Simple solution.,Neutral,Prejudiced
The british workers dont want to do it though which is why the eastern europeans have been come here to do it for a good 15years  plus,Neutral,Irrelevant
XXX if we got rid of the migrants then the benefit spongers would have to take the jobs or lose benefits. We can get this turned around as long as we take control of the boarders.,Neutral,Irrelevant
XXX we do have control of the borders. Always have had. Just having a job available doesn't mean people will do it they're not prepared to do it now . Hence mostly migrants doing it.,Neutral,Irrelevant
XXX if the unemployed are unwilling to work in my opinion they should get fuck all benefit's. Make the lazy sods work . Im in work at 6 am every day working my arse off . If I can do it so can they,Neutral,Irrelevant
My dad was a farmer. It was a family farm. He would be out at 7 and wouldnt come home till he finished what he had to. After school. Weekends and School holidays we was all out in the fields. My dad my mum my three sisters and my brother . Had other farmers help to. We all helped each other. They worked on my dads farm. We worked on there. We also had cousins that would come because they wanted to get some money. Sit in a field pulling onions out of the ground. Cutting the tops of. Putting them in a basket. Then put them in a bag. It was hard work. Now day they have machines that do most of the work. My dad was a small farmer. So we all worked on it. From driving tractors to in the fields.,Neutral,Irrelevant
XXX The trafficker,Neutral,Irrelevant
XXX on the door step....,Neutral,Irrelevant
I'm a fenland lad through n through try living in this area lol,Neutral,Irrelevant
"Send them all back, that way you won't have idiots (they have come for a better life, blah blah blah.) the crime rate has shot up since they have flooded in. If they don't like their country then they should blame their parents, not come here so we suffer. Give England back to England.",Neutral,Prejudiced
"How are you going to judge a whole nation based on the criminals  You get French arseholes, Irish arseholes, Scottish arseholes and guess what YES English arseholes aswell Stabbings in London are at an all time high it outdid shootings in New York and guess what WE the Englishmen and at adult age 26-30 was responsible for more than half of that rate",Neutral,Irrelevant
"XXX that is also true. But I would rather just deal with the homegrown idiots than have rude foreign idiots who grab women when we are having a girlie night out, swear at us when we tell them we are not interested. I agree that English lads do it as well but when a foreign idiots then says fuck off to your country you fucking slag when I'm a white English older woman it just gets my back up. Also we have more foreigners here that carry weapons abuse people in the street drink out in the open parks where children are. How can we bring up good children when we let other idiots into the country.",Neutral,Prejudiced
XXX here here x,Neutral,Irrelevant
If we sent them all back we'd still have idiots like you.,Neutral,Irrelevant
XXX rather have a home grown idiot than a foreign one. At least I will understand your English,Neutral,Irrelevant
"I doubt the problem is they donâ€™t like their country. Really why would anyone want to move here for anything other than money. Send them all back ðŸ˜‚ðŸ˜‚ðŸ˜‚ whoâ€™s them, the people building homes and shops, cleaning, collecting the food we eat and putting it on shelves for us to buy the list could go on and on. Maybe the problem is you",Neutral,Irrelevant
"XXX  there is a lot of crazy cows on fen green fields go on and join them, it will be far more productive than your shity comments.",Neutral,Irrelevant
XXX best comments of 2018 so far ðŸ˜‚ðŸ˜‚ðŸ˜‚,Neutral,Irrelevant
XXX like I said before. When they go home the english will have to do the jobs they donâ€™t want or like or they lose their benefits.,Neutral,Irrelevant
XXX how adult of you,Neutral,Irrelevant
XXX why moan when you canâ€™t see the problem. Pathetic,Neutral,Irrelevant
"Hilarious I love how you bring the word pathetic out of the box, whatâ€™s pathetic is your racist one sided thinking  â€œOh they are foreign so they must be criminalsâ€ you have absolutely no idea love do yourself a favour never breathe a word of this opinion in public you will look so stupid when someone who has worked along slide them and gets on  with some themselves hears this bullshit",Neutral,Irrelevant
"Thereâ€™s criminals then there is people  Just like there is in every single society across the world, just because they donâ€™t speak the same language as you doesnâ€™t mean they are bad people (which to me is what you are interpreting) such an immature judgement to make  How old are you? Jeez",Neutral,Irrelevant
"XXX If you had read what I have previously said - the ones that just grab your bum when walking through the bar when you tell them to back off they call you a dirty English slag, the ones who I have actually watched inject their groins in broad daylight. The ones who are so bloody rude in the supermarket because you have gone to grab the same piece of meat. Rudeness is uncalled for.",Neutral,Irrelevant
"XXX how old am I.. Old enough to have paid into the NHS longer than you have been alive probably. Not paying into it for 3 months then getting prescriptions to send home. Old enough to know that when your arse is grabbed in a pub and can you give them the bird, most English lads laugh at you with their mates, I have actually had The reply fuck off you dirty fucking English slag I wouldn't mind but I'm having a coffee with my sister in the middle of the afternoon..sorry am I suppose to thank god for their wonderful manners and robbing ways",Neutral,Irrelevant
"And they are the bad ones  Not every single foreign countryman you meet is like that, some are very humble and very polite people  you get bad peoples everywhere  No matter what Race or nationality  Iâ€™m not a bleeding heart liberal or anything I am just saying before you go bad mouthing a whole nation  Look at it from both sides",Neutral,Irrelevant
XXX lets just agree to disagree and I have met a couple of nice ones but unfortunately met more bad than good.,Neutral,Irrelevant
"Dear Helen , seems you got all wrong.... people come because of work and life, criminals come here for the different reasons. Every country have criminals, England is not exaption, you like it not but thats the way it is in this modern world. By the way the migest criminal cortel are polite cortel,  in nearly all EU countrys and US..... Helen , we all are people/human , behind the skin and religion there is no difference between us.... and we speak English and understand when somebody very rude. We come here with knowledge of 3 to 5 different languages.... Doctors and any other important workers  come here ..... Helen we all human, all are beatiful spirits, o this life track.",Neutral,Irrelevant
XXX Well then,Neutral,Irrelevant
Wth,Neutral,Irrelevant
I think people should go to soham and try and spot the English man I feel out of place every time I go there,Neutral,Irrelevant
"Try wisbech ,you will feel exactly the same ! ,and the serious crime rate is high too x",Neutral,Irrelevant
XXX   I used to work on Shropshire for about 8 years. Till the Eastern Europeans turned up.,Neutral,Irrelevant
I got told by Shropshireâ€™s I couldnâ€™t get a job there as a tractor driver because the only language I speak is English,Neutral,Irrelevant
XXX arr nice one...ðŸ‘Œ,Neutral,Irrelevant
"XXX  I'm in a village just outside wisbech, I hate going there you don't hear a word of English most of the time x",Neutral,Irrelevant
"XXX ,thats such a shame i.i used to like shopping in the horsefair ,now its a bit intimidating",Neutral,Irrelevant
XXX it's scary plus hardly any shops left now either xxx,Neutral,Irrelevant
XXX i know .pretty sad x,Neutral,Irrelevant
XXX agreed xxx,Neutral,Irrelevant
If youâ€™re on benefits for more than 6 months just stop it,Neutral,Irrelevant
Good luck to you if you get a chronic illness.,Neutral,Irrelevant
XXX I think he may be on about the spongers not ill people.,Neutral,Irrelevant
XXX I was,Neutral,Irrelevant
XXX I was on about the spongers,Neutral,Irrelevant
"Then round them up and kick them out, then jail the gangmasters for a very long time. Send a message that it will not be tolerated.",Neutral,Other
So are the people who belong here,Neutral,Misunderstanding
Can you speak in English please?,Neutral,Irrelevant
"The fenland people who are burgled,assaulted is that English enough for you. The proper fenland people",Neutral,Irrelevant
Proabilly a bozzo ðŸ˜‚ðŸ˜‚ fucking slave robbed me of Â£10 to clean my car inside and out ðŸ˜‚ slavery my arse,Neutral,Irrelevant
And the guilty Are the Farmers!!,Neutral,Aware
"Screw them, maybe their go back to the shithole they came from and not country shop till they fund the jackpot namely us. Their beds made now sleep in it, or piss off!!!!",Neutral,Prejudiced
"This is about slavery. A very real problem in this nation and in the world. A lot of them don't know how to escape, they came here for a better life and now are enslaved, no one deserves that.",Neutral,Aware
There is so much ignorance on here that itâ€™s painful.,Neutral,Aware
Stop moaning. Yes that is a lot of gangs in the Fens. They have their own cars most of them. It's the towns you want to worry about. PS cheap food cheap workers.,Neutral,Aware
After what u eat in it well cheap ! Take care bruv lol,Neutral,Irrelevant
IT IS EVERYWHERE,Neutral,Aware
I have often wondered this. The guys who do my car do a very good job but I do worry for the welfare. I think they are Romanian. How can we tell if they may be victims of slavery and what can we do about it?,Neutral,Wants to help/learn
Romanians about Norfolk way?,Neutral,Irrelevant
"XXX if you have concerns then it's worth calling in on 101 (or reporting online on the website) and letting the police know what your concerns are and why (no matter how little info you can give) It may just be the little bit of info they've been waiting for to add to a case they're already working on, or it may be the first piece of info that makes them look into it and help people who don't know where to turn.",Neutral,Aware
XXX I donâ€™t have concerns specifically. What I would like to know is: how could we tell if there is an issue? What are the signs?,Neutral,Wants to help/learn
